Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	1024
2	713	713	713	713	713	713	713	1024
3	1017	1017	1017	1017	1017	1017	1017	1024
4	1450	1450	1450	1450	1450	1450	1450	1024
5	2068	2068	2068	2068	2068	2068	2068	1024
6	2948	2948	2948	2948	2948	2948	2948	1024
7	4204	4204	4204	4204	4204	4204	4204	1024
8	5996	5996	5996	5996	5996	5996	5996	1024
9	8550	8550	8550	8550	8550	8550	8550	1024
10	12192	12192	12192	12192	12192	12192	12192	1024
11	17386	17386	17386	17386	17386	17386	17386	1024
12	24793	24793	24793	24793	24793	24793	24793	1024
13	35355	35355	35355	35355	35355	35355	35355	1024
14	50417	50417	50417	50417	50417	50417	50417	1024
15	71896	71896	71896	71896	71896	71896	71896	1024
16	102524	102524	102524	102524	102524	102524	102524	1024
17	146201	146201	146201	146201	146201	146201	146201	1024
18	208484	208484	208484	208484	208484	208484	208484	1024
19	297302	297302	297302	297302	297302	297302	297302	1024
20	423956	423956	423956	423956	423956	423956	423956	1024
21	604568	604568	604568	604568	604568	604568	604568	1024
22	862122	862122	862122	862122	862122	862122	862122	1024
23	1229398	1229398	1229398	1229398	1229398	1229398	1229398	1024
24	1753139	1753139	1753139	1753139	1753139	1753139	1753139	1024
25	2500000	2500000	2500000	2500000	2500000	2500000	2500000	1024
26	3835319	3835319	3835319	3835319	3835319	3835319	3835319	1024
27	4268417	4268417	4268417	4268417	4268417	4268417	4268417	1024
28	4750422	4750422	4750422	4750422	4750422	4750422	4750422	1024
29	5286856	5286856	5286856	5286856	5286856	5286856	5286856	1024
30	5883867	5883867	5883867	5883867	5883867	5883867	5883867	1024
31	6548295	6548295	6548295	6548295	6548295	6548295	6548295	1024
32	7287752	7287752	7287752	7287752	7287752	7287752	7287752	1024
33	8110711	8110711	8110711	8110711	8110711	8110711	8110711	1024
34	9026602	9026602	9026602	9026602	9026602	9026602	9026602	1024
35	10045918	10045918	10045918	10045918	10045918	10045918	10045918	1024
36	11180340	11180340	11180340	11180340	11180340	11180340	11180340	1024
