index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher	0	1		1		7	5	hax	Hand Axe			5	5000	dyel			invhaxu				str		2	12	openwounds		13	75	crush		5	30	dmg%		15	105																																	0
Deathspade	0	1		1		12	9	axe	Axe			5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		2	12	att%		4	23	mana-kill		1	6	dmg%		15	105																													0
Bladebone	0	1		1		20	15	2ax	Double Axe			5	5000	lgry	lgry						dmg-undead		25	150	att-undead		10	60	swing2		5	30	ac		5	30	fire-min		2	12	fire-max		3	18	dmg%		8	75																					0
Mindrend	0	1		1		28	21	mpi	Military Pick			5	5000	lgrn			invmpiu				stupidity		2	3	regen-mana		5	30	ltng-min		1	1	ltng-max		3	23	att		13	150	dmg%		15	150	openwounds		4	23																					0
Rakescar	0	1		1		36	27	wax	War Axe			5	5000	dgry	dgry						pois-min		32	192	pois-max		32	192	pois-len		19	113	att		13	75	res-pois		13	75	dmg%		19	225	swing2		8	45																					0
Fechmars Axe	0	1		1		11	8	lax	Large Axe			5	5000	lpur	lpur						dmg%		18	135	freeze		1	5	res-cold		13	75	light		1	3																																	0
Goreshovel	0	1		1		19	14	bax	Broad Axe			5	5000	dpur	dpur						swing3		8	45	str		6	38	openwounds		15	90	dmg%		10	75	dmg-max		2	14																													0
The Chieftan	0	1		1		26	19	btx	Battle Axe			5	5000	oran			invbtxu				dmg%		25	150	res-all		3	30	mana-kill		2	9	swing2		5	30	dmg-ltng		1	60																													0
Brainhew	0	1		1		34	25	gax	Great Axe			5	5000	whit			invgaxu				dmg-min		4	21	mana		6	38	light		1	6	manasteal		3	20	dmg%		13	120	dmg-fire		4	53																									0
The Humongous	0	1		1		39	29	gix	Giant Axe			5	5000	blac	blac						str		5	45	dmg-min		2	12	dmg-max		4	38	crush		8	50	ease		5	30	dmg%		20	180																									0
Iros Torch	0	1		1		7	5	wnd	Wand			5	5000	cred			invwndu				nec		1	1	lifesteal		2	9	dmg-fire		1	14	light		1	5	enr		3	15	regen-mana		1	8																									0
Maelstromwrath	0	1		1		19	14	ywn	Yew Wand			5	5000	dblu	dblu						ltng-min		1	1	ltng-max		2	14	res-ltng		10	60	mana		3	20	cast2		8	45	skill	74	1	5	skill	77	1	5	skill	66	1	5	skill	76	1	5													0
Gravenspine	0	1		1		27	20	bwn	Bone Wand			5	5000	cgrn			invbwnu				str		3	15	dex		3	15	cold-min		1	6	cold-max		2	12	cold-len		19	113	manasteal		1	8	nec		1	3	mana		6	75																	0
Umes Lament	0	1		1		38	28	gwn	Grim Wand			5	5000	lblu	lblu						nec		2	3	mana		10	60	cast2		5	30	howl		16	96	skill	77	1	5	skill	87	1	3																									0
Felloak	0	1		1		4	3	clb	Club			5	5000	lgry			invclbu				res-ltng		15	90	res-fire		5	30	knock		1	1	fire-min		2	9	fire-max		2	12	dmg%		18	120																									0
Knell Striker	0	1		1		7	5	scp	Scepter			5	5000	dred	dred						crush		6	38	res-fire		5	30	res-pois		5	30	mana		4	23	att		9	53	dmg%		18	120																									0
Rusthandle	0	1		1		23	17	gsc	Grand Scepter			5	5000	lgld	lgld						pal		1	1	dmg-norm		1	11	red-mag		1	1	lifesteal		2	12	dmg%		13	90	dmg-undead		13	90	skill	111	1	5	skill	103	1	5																	0
Stormeye	0	1		1		31	23	wsp	War Scepter			5	5000	cred	cred						dmg-ltng		1	9	dmg-cold	75	1	8	regen		3	15	dmg%		20	180	skill	110	1	8	skill	118	1	5	skill	121	1	1																					0
Stoutnail	0	1		1		7	5	spc	Spiked Club			5	5000	dgry			invspcu				thorns		3	15	dmg%		25	150	vit		2	11	red-mag		1	3																																	0
Crushflange	0	1		1		12	9	mac	Mace			5	5000	blac	blac						str		4	23	knock		1	1	light		1	3	res-fire		13	75	dmg%		13	90	crush		8	50																									0
Bloodrise	0	1		1		20	15	mst	Morning Star			5	5000	lblu			invmstu				dmg%		30	180	att%		13	75	openwounds		6	38	light		1	3	swing1		3	15	skill	96	1	5	lifesteal		1	8																					0
The Generals Tan Do Li Ga	0	1		1		28	21	fla	Flail			5	5000	dblu	dblu						dmg-min		1	1	dmg-max		5	30	slow		13	75	ac		6	38	manasteal		1	8	dmg%		13	90	swing2		5	30																					0
Ironstone	0	1		1		36	27	whm	War Hammer			5	5000	cblu	cblu						att		25	225	dmg%		25	225	ltng-min		1	1	ltng-max		3	15	str		3	15	*enr		-5	-5																									0
Bonesob	0	1		1		32	24	mau	Maul			5	5000	lred			invmauu				dmg%		50	450	crush		10	60	res-fire		8	45	res-cold		8	45	dmg-undead		13	75																													0
Steeldriver	0	1		1		39	29	gma	Great Maul			5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		10	60	regen-stam		6	38	dmg%		38	375																																	0
Rixots Keen	0	1		1		3	2	ssd	Short Sword			5	5000	blac	blac						dmg-min		1	8	att%		5	30	light		1	3	crush		6	38	ac		6	38	dmg%		25	150																									0
Blood Crescent	0	1		1		10	7	scm	Scimitar			5	5000	lblu			invscmu				res-all		4	23	dmg%		15	120	hp		4	23	light		1	6	openwounds		8	50	swing2		4	23	lifesteal		4	23																					0
Krintizs Skewer	0	1		1		14	10	sbr	Saber			5	5000	cblu			inv9sbu				ignore-ac		1	1	str		3	15	dex		3	15	manasteal		2	11	dmg%		13	75	dmg-norm		1	11																									0
Gleamscythe	0	1		1		18	13	flc	Falchion			5	5000	lred			invflcu				light		3	5	mana		8	45	ac		5	30	swing2		5	30	dmg%		15	150	dmg-cold	50	1	8																									0
Azurewrath	0	0		1		18	13	crs	Crystal Sword			5	5000	lgry			invcrsu				deadly		13	75	mag%		3	15	dmg-cold	100	1	9	dmg%		25	150	dur		6	38	dmg-mag		1	15																									0
Griswolds Edge	0	1		1		23	17	bsd	Broad Sword			5	5000	cred			invbsdu				fire-min		3	18	fire-max		4	38	att		25	150	swing1		3	15	knock		1	1	dmg%		20	180	str		3	18																					0
